transaction_id,account_id,user_id,amount,transaction_type,category,transaction_time
1,66,23,1925650,debit,,2025-09-20 16:38:15.830016
2,3,8888,-2577877,debit,rent,2025-11-25 16:38:15.830027
3,115,8888,3318695,debt,salary,2025-11-13 16:38:15.830032
4,83,62,-1406670,debit,transfer,2025-11-18 16:38:15.830036
5,86,8888,2268035,debit,groceries,2025-08-29 16:38:15.830041
6,12,85,561861,debt,rent,2025-03-22 16:38:15.830045
7,57,5,2950461,debt,,2025-10-09 16:38:15.830049
8,72,67,3464727,credit,rent,2025-11-13 16:38:15.830056
9,95,8888,726465,debit,rent,2025-07-20 16:38:15.830061
10,105,76,-1796968,debit,rent,2025-02-15 16:38:15.830065
11,68,8888,-1901248,debit,,2025-02-15 16:38:15.830069
12,36,20,4268298,debt,rent,2025-10-30 16:38:15.830073
13,58,53,-2467944,credit,,2025-10-26 16:38:15.830079
14,85,8888,1396409,debt,groceries,2025-03-30 16:38:15.830085
15,14,2,278496,credit,transfer,2025-10-09 16:38:15.830091
16,25,74,2398319,debt,salary,2025-02-26 16:38:15.830097
17,28,56,915321,debt,,2025-05-15 16:38:15.830102
18,96,8888,403595,debt,rent,2025-04-09 16:38:15.830108
19,60,8888,4907105,debt,groceries,2025-12-20 16:38:15.830114
20,45,13,328420,credit,rent,2025-09-08 16:38:15.830120
21,90,8888,1361615,debit,rent,2025-10-15 16:38:15.830125
22,137,70,521849,debt,rent,2025-12-09 16:38:15.830130
23,96,13,2293156,credit,groceries,2025-04-17 16:38:15.830136
24,83,1,-4626258,debit,transfer,2025-02-28 16:38:15.830142
25,95,8888,2545422,debit,transfer,2025-03-24 16:38:15.830149
26,31,41,1801192,credit,salary,2025-08-26 16:38:15.830155
27,52,55,-1307055,debit,groceries,2025-05-15 16:38:15.830158
28,2,77,-4431954,credit,transfer,2025-09-15 16:38:15.830162
29,34,8888,-1389792,debit,salary,2025-07-24 16:38:15.830165
30,88,21,4614822,credit,groceries,2025-03-10 16:38:15.830169
31,111,62,-1153183,credit,,2025-05-19 16:38:15.830173
32,91,1,-1942505,debit,rent,2025-02-25 16:38:15.830177
33,80,8888,-722355,debit,rent,2025-03-02 16:38:15.830180
34,13,49,2099654,debit,salary,2025-04-22 16:38:15.830184
35,67,25,-777779,credit,transfer,2025-07-16 16:38:15.830187
36,130,8888,2913514,debt,,2025-05-04 16:38:15.830190
37,12,57,1906868,credit,rent,2025-09-18 16:38:15.830194
38,135,54,-2790195,debit,groceries,2025-07-31 16:38:15.830197
39,97,62,2812552,debt,,2025-04-17 16:38:15.830200
40,87,22,3269884,debit,salary,2025-12-09 16:38:15.830204
41,123,8888,-4995559,debit,groceries,2025-04-20 16:38:15.830207
42,141,99,4163589,debt,,2025-05-15 16:38:15.830210
43,150,59,885713,debit,salary,2025-06-12 16:38:15.830214
44,50,8888,-3657246,debit,groceries,2025-09-26 16:38:15.830218
45,100,8888,4905670,credit,transfer,2025-10-18 16:38:15.830221
46,78,8888,-2400438,debit,groceries,2025-09-10 16:38:15.830225
47,2,41,4116534,debit,,2025-06-17 16:38:15.830228
48,17,29,-3787134,credit,salary,2025-08-20 16:38:15.830232
49,82,8888,2388856,debit,,2025-08-24 16:38:15.830235
50,49,8888,-652462,credit,transfer,2025-06-04 16:38:15.830239
51,54,33,130106,debt,transfer,2025-02-14 16:38:15.830242
52,124,8888,-3252486,credit,groceries,2025-03-20 16:38:15.830246
53,94,83,1179911,credit,transfer,2025-06-09 16:38:15.830249
54,128,4,-2198844,credit,salary,2025-09-07 16:38:15.830260
55,139,8888,-1439562,debit,rent,2025-10-03 16:38:15.830264
56,146,78,-3128750,debit,rent,2025-12-06 16:38:15.830267
57,15,8888,1118161,debt,groceries,2025-09-02 16:38:15.830270
58,47,63,4023340,debit,rent,2025-10-18 16:38:15.830273
59,62,94,-724612,debit,transfer,2025-11-24 16:38:15.830277
60,50,13,-3430640,debit,groceries,2025-04-15 16:38:15.830280
61,66,8888,4676786,debt,,2025-06-10 16:38:15.830284
62,35,94,867377,credit,rent,2025-09-15 16:38:15.830287
63,148,8888,982028,debt,salary,2025-05-25 16:38:15.830290
64,149,8888,1621021,debt,rent,2025-11-02 16:38:15.830293
65,144,30,1196856,debt,groceries,2025-12-01 16:38:15.830296
66,136,8888,-3248363,credit,,2025-08-11 16:38:15.830300
67,112,87,4889870,credit,rent,2025-11-27 16:38:15.830303
68,44,4,4616353,debit,groceries,2025-11-19 16:38:15.830307
69,56,8888,1473272,debt,salary,2025-08-23 16:38:15.830311
70,104,8888,3477643,credit,rent,2025-06-20 16:38:15.830314
71,42,8888,-274728,debit,groceries,2025-07-14 16:38:15.830318
72,116,5,3546982,credit,transfer,2025-04-23 16:38:15.830321
73,140,39,4633258,debt,transfer,2025-08-11 16:38:15.830325
74,72,38,2507474,debt,transfer,2025-11-05 16:38:15.830328
